CPU: 12 | Memory: 5096329216 | Platform: win32
CPU: 12 | Memory: 5091250176 | Platform: win32
CPU: 12 | Memory: 5051576320 | Platform: win32
CPU: 12 | Memory: 5037105152 | Platform: win32
CPU: 12 | Memory: 5010866176 | Platform: win32
CPU: 12 | Memory: 4965572608 | Platform: win32
CPU: 12 | Memory: 5050945536 | Platform: win32
CPU: 12 | Memory: 5059407872 | Platform: win32
CPU: 12 | Memory: 5063704576 | Platform: win32
CPU: 12 | Memory: 5069082624 | Platform: win32
CPU: 12 | Memory: 4955447296 | Platform: win32
CPU: 12 | Memory: 4975665152 | Platform: win32
CPU: 12 | Memory: 5006032896 | Platform: win32
CPU: 12 | Memory: 5014339584 | Platform: win32
CPU: 12 | Memory: 4964802560 | Platform: win32
CPU: 12 | Memory: 4949823488 | Platform: win32
CPU: 12 | Memory: 5008584704 | Platform: win32
CPU: 12 | Memory: 5026267136 | Platform: win32
CPU: 12 | Memory: 4981469184 | Platform: win32
CPU: 12 | Memory: 5018628096 | Platform: win32
CPU: 12 | Memory: 5163167744 | Platform: win32
CPU: 12 | Memory: 5175201792 | Platform: win32
CPU: 12 | Memory: 5167751168 | Platform: win32
CPU: 12 | Memory: 5154447360 | Platform: win32
CPU: 12 | Memory: 5115621376 | Platform: win32
CPU: 12 | Memory: 5105623040 | Platform: win32
CPU: 12 | Memory: 5093416960 | Platform: win32
CPU: 12 | Memory: 5089423360 | Platform: win32
CPU: 12 | Memory: 5165899776 | Platform: win32
CPU: 12 | Memory: 5130838016 | Platform: win32
CPU: 12 | Memory: 5052428288 | Platform: win32
CPU: 12 | Memory: 5082882048 | Platform: win32
CPU: 12 | Memory: 5103415296 | Platform: win32
CPU: 12 | Memory: 5109059584 | Platform: win32
CPU: 12 | Memory: 5117493248 | Platform: win32
CPU: 12 | Memory: 5120315392 | Platform: win32
CPU: 12 | Memory: 5142020096 | Platform: win32
CPU: 12 | Memory: 5161410560 | Platform: win32
CPU: 12 | Memory: 5156241408 | Platform: win32
CPU: 12 | Memory: 5119889408 | Platform: win32
CPU: 12 | Memory: 5079674880 | Platform: win32
CPU: 12 | Memory: 5071966208 | Platform: win32
CPU: 12 | Memory: 5039951872 | Platform: win32
CPU: 12 | Memory: 5061373952 | Platform: win32
CPU: 12 | Memory: 5068664832 | Platform: win32
CPU: 12 | Memory: 5107974144 | Platform: win32
CPU: 12 | Memory: 5074964480 | Platform: win32
CPU: 12 | Memory: 5081911296 | Platform: win32
CPU: 12 | Memory: 5099323392 | Platform: win32
CPU: 12 | Memory: 5103464448 | Platform: win32
CPU: 12 | Memory: 5146923008 | Platform: win32
CPU: 12 | Memory: 5154480128 | Platform: win32
CPU: 12 | Memory: 5153300480 | Platform: win32
CPU: 12 | Memory: 5138276352 | Platform: win32
CPU: 12 | Memory: 5108387840 | Platform: win32
CPU: 12 | Memory: 5086707712 | Platform: win32
CPU: 12 | Memory: 5099286528 | Platform: win32
CPU: 12 | Memory: 5075980288 | Platform: win32
CPU: 12 | Memory: 5078528000 | Platform: win32
CPU: 12 | Memory: 5147676672 | Platform: win32
CPU: 12 | Memory: 5070131200 | Platform: win32
CPU: 12 | Memory: 5070417920 | Platform: win32
CPU: 12 | Memory: 5118570496 | Platform: win32
CPU: 12 | Memory: 5131575296 | Platform: win32
CPU: 12 | Memory: 5149618176 | Platform: win32
CPU: 12 | Memory: 5151154176 | Platform: win32
CPU: 12 | Memory: 5083271168 | Platform: win32
CPU: 12 | Memory: 5096132608 | Platform: win32
CPU: 12 | Memory: 5094690816 | Platform: win32
CPU: 12 | Memory: 5108502528 | Platform: win32
CPU: 12 | Memory: 5111103488 | Platform: win32
CPU: 12 | Memory: 5120610304 | Platform: win32
CPU: 12 | Memory: 5137252352 | Platform: win32
CPU: 12 | Memory: 5119234048 | Platform: win32
CPU: 12 | Memory: 4926582784 | Platform: win32
CPU: 12 | Memory: 4865298432 | Platform: win32
CPU: 12 | Memory: 4856307712 | Platform: win32
CPU: 12 | Memory: 4872642560 | Platform: win32
CPU: 12 | Memory: 4877766656 | Platform: win32
CPU: 12 | Memory: 4889899008 | Platform: win32
CPU: 12 | Memory: 4880297984 | Platform: win32
CPU: 12 | Memory: 4893388800 | Platform: win32
CPU: 12 | Memory: 4990386176 | Platform: win32
CPU: 12 | Memory: 4984827904 | Platform: win32
CPU: 12 | Memory: 4992606208 | Platform: win32
CPU: 12 | Memory: 4985057280 | Platform: win32
